gene-symbol,gene-name,chromosome,genetic-category,gene-score,syndromic,number-of-reports
CASC4,cancer susceptibility candidate 4,15,Rare Single Gene Mutation,3,0,4
CASK,calcium/calmodulin dependent serine protein kinase,X,"Rare Single Gene Mutation, Syndromic",1,0,15
CASZ1,castor zinc finger 1,1,Rare Single Gene Mutation,2,0,4
CC2D1A,Coiled-coil and C2 domain containing 1A,19,"Rare Single Gene Mutation, Functional",2,0,12
CCDC88C,Coiled-coil domain containing 88C,14,Rare Single Gene Mutation,3,0,6
CCDC91,coiled-coil domain containing 91,12,Rare Single Gene Mutation,3,0,4
CCIN,calicin,9,Rare Single Gene Mutation,3,0,2
CCNG1,cyclin G1,5,Rare Single Gene Mutation,2,0,1
CCNK,cyclin K,14,Syndromic,S,S,2
CCSER1,coiled-coil serine rich protein 1,4,Rare Single Gene Mutation,3,0,2
CCT4,"Chaperonin containing TCP1, subunit 4 (delta)",2,Rare Single Gene Mutation,2,0,3
CD276,CD276molecule,15,Rare Single Gene Mutation,3,0,2
CD38,CD38 molecule,4,"Rare Single Gene Mutation, Genetic Association, Functional",3,0,8
CDC42BPB,CDC42 binding protein kinase beta (DMPK-like),14,Rare Single Gene Mutation,2,0,7
CDH10,"cadherin 10, type 2 (T2-cadherin)",5,"Rare Single Gene Mutation, Genetic Association",3,0,10
CDH11,cadherin 11,16,Rare Single Gene Mutation,3,0,4
CDH13,cadherin 13,16,Rare Single Gene Mutation,2,0,3
CDH8,"cadherin 8, type 2",16,Rare Single Gene Mutation,3,0,10
CDH9,"cadherin 9, type 2 (T1-cadherin)",5,"Rare Single Gene Mutation, Genetic Association",3,0,7
CDK8,cyclin dependent kinase 8,13,Syndromic,S,S,1
CDKL5,cyclin-dependent kinase-like 5,X,"Rare Single Gene Mutation, Syndromic",1,0,36
CECR2,"CECR2, histone acetyl-lysine reader",22,Rare Single Gene Mutation,3,0,2
CELF4,"CUGBP, Elav-like family member 4",18,"Rare Single Gene Mutation, Functional",2,0,10
CELF6,"CUGBP, Elav-like family member 6",15,"Rare Single Gene Mutation, Genetic Association",3,0,3
CEP135,centrosomal protein 135,4,"Rare Single Gene Mutation, Syndromic",2,0,6
CEP290,Centrosomal protein 290kDa,12,"Rare Single Gene Mutation, Syndromic",3S,S,8
CEP41,"testis specific, 14",7,"Rare Single Gene Mutation, Syndromic",2,0,5
CGNL1,Cingulin-like 1,15,Rare Single Gene Mutation,2,0,4
CHD1,chromodomain helicase DNA binding protein 1,5,Rare Single Gene Mutation,3S,S,4
CHD2,Chromodomain helicase DNA binding protein 2,15,"Rare Single Gene Mutation, Syndromic",1,0,34
CHD3,chromodomain helicase DNA binding protein 3,17,"Rare Single Gene Mutation, Syndromic",1,0,5
CHD7,chromodomain helicase DNA binding protein 7,8,"Rare Single Gene Mutation, Syndromic",1,0,27
CHD8,chromodomain helicase DNA binding protein 8,14,"Rare Single Gene Mutation, Functional",1,0,46
CHMP1A,charged multivesicular body protein 1A,16,"Rare Single Gene Mutation, Syndromic",2,0,5
CHRM3,cholinergic receptor muscarinic 3,1,"Rare Single Gene Mutation, Genetic Association",3,0,6
CHRNA7,"cholinergic receptor, nicotinic, alpha 7",15,Rare Single Gene Mutation,2,0,13
CHRNB3,cholinergic receptor nicotinic beta 3 subunit,8,Rare Single Gene Mutation,3,0,2
CIB2,Calcium and integrin binding family member 2,15,Rare Single Gene Mutation,2,0,1
CIC,capicua transcriptional repressor,19,"Rare Single Gene Mutation, Functional",1,0,5
CLASP1,cytoplasmic linker associated protein 1,2,Rare Single Gene Mutation,2,0,3
CLN8,"Ceroid-lipofuscinosis, neuronal 8 (epilepsy, progressive with mental retardation)",8,"Rare Single Gene Mutation, Syndromic",3,0,3
CLTCL1,"clathrin, heavy chain-like 1",22,Rare Single Gene Mutation,3,0,6
CMIP,c-Maf inducing protein,16,"Rare Single Gene Mutation, Genetic Association",3,0,6
CMPK2,cytidine/uridine monophosphate kinase 2,2,Rare Single Gene Mutation,3,0,2
CNGB3,cyclic nucleotide gated channel beta 3,8,Rare Single Gene Mutation,3,0,3
CNKSR2,connector enhancer of kinase suppressor of Ras 2,X,"Rare Single Gene Mutation, Syndromic",2S,S,5
CNOT3,CCR4-NOT transcription complex subunit 3,19,"Rare Single Gene Mutation, Syndromic",1,0,7
CNR1,cannabinoid receptor 1 (brain),6,"Rare Single Gene Mutation, Genetic Association",2,0,7
CNTN3,contactin 3,3,Rare Single Gene Mutation,3,0,5
CNTN4,contactin 4,3,"Rare Single Gene Mutation, Syndromic, Genetic Association",2,0,21
CNTN5,Contactin 5,11,"Rare Single Gene Mutation, Genetic Association",2,0,9
CNTN6,Contactin 6,3,"Rare Single Gene Mutation, Genetic Association",2,0,13
CNTNAP2,contactin associated protein-like 2,7,"Rare Single Gene Mutation, Syndromic, Genetic Association",2S,S,66
CNTNAP3,contactin associated protein-like 3,9,"Rare Single Gene Mutation, Functional",2,0,5
CNTNAP4,Contactin associated protein-like 4,16,"Rare Single Gene Mutation, Functional",2,0,11
CNTNAP5,contactin associated protein-like 5,2,"Rare Single Gene Mutation, Genetic Association",3,0,12
COL28A1,collagen type XXVIII alpha 1 chain,7,Rare Single Gene Mutation,3,0,3
CPT2,carnitine palmitoyltransferase 2,1,Rare Single Gene Mutation,3,0,2
CREBBP,CREB binding protein,16,"Rare Single Gene Mutation, Syndromic, Genetic Association",1,0,27
CSMD1,CUB and Sushi multiple domains 1,8,"Rare Single Gene Mutation, Genetic Association",3,0,13
CSNK1E,casein kinase 1 epsilon,22,"Rare Single Gene Mutation, Functional",3,0,5
CTCF,CCCTC-binding factor,16,"Rare Single Gene Mutation, Syndromic, Functional",1,0,14
CTNNA2,catenin alpha 2,2,Syndromic,S,S,1
CTNNA3,"catenin (cadherin-associated protein), alpha 3",10,"Rare Single Gene Mutation, Genetic Association",3,0,14
CTNNB1,catenin beta 1,3,"Rare Single Gene Mutation, Syndromic",1,0,21
CTNND2,"Catenin (cadherin-associated protein), delta 2",5,Rare Single Gene Mutation,2,0,5
CTTNBP2,cortactin binding protein 2,7,"Rare Single Gene Mutation, Syndromic",2,0,8
CUL3,Cullin 3,2,"Rare Single Gene Mutation, Genetic Association",1,0,20
CUL7,Cullin 7,6,Rare Single Gene Mutation,2,0,5
CUX1,cut like homeobox 1,7,"Rare Single Gene Mutation, Functional",2,0,6
CUX2,cut like homeobox 2,12,"Rare Single Gene Mutation, Syndromic",3S,S,7
CX3CR1,Chemokine (C-X3-C motif) receptor 1,3,"Rare Single Gene Mutation, Functional",3,0,3
CYFIP1,cytoplasmic FMR1 interacting protein 1,15,"Rare Single Gene Mutation, Genetic Association, Functional",2,0,16
CYLC2,"cylicin, basic protein of sperm head cytoskeleton 2",9,Rare Single Gene Mutation,3,0,3
DAGLA,diacylglycerol lipase alpha,11,"Rare Single Gene Mutation, Functional",3,0,4
DAPP1,Dual adaptor of phosphotyrosine and 3-phosphoinositides,4,Rare Single Gene Mutation,2,0,1
DDX3X,"DEAD (Asp-Glu-Ala-Asp) box helicase 3, X-linked",X,"Rare Single Gene Mutation, Syndromic",1,0,19
DDX53,DEAD (Asp-Glu-Ala-Asp) box polypeptide 53,X,Rare Single Gene Mutation,3,0,3
DEAF1,DEAF1 transcription factor,11,"Rare Single Gene Mutation, Syndromic",2S,S,17
DENR,density-regulated protein,12,Rare Single Gene Mutation,2,0,3
CADM2,Cell adhesion molecule 2,3,Genetic Association,3,0,3
CAMK4,Calcium/calmodulin-dependent protein kinase IV,5,Genetic Association,3,0,1
CD99L2,CD99 molecule like 2,X,Genetic Association,3,0,1
CDH22,cadherin-like 22,20,Genetic Association,3,0,4
CPEB4,cytoplasmic polyadenylation element binding protein 4,5,Functional,2,0,1
CYP11B1,"cytochrome P450, family 11, subfamily B, polypeptide 1",8,Syndromic,3,0,4
DDC,dopa decarboxylase,7,Genetic Association,3,0,2
DHCR7,7-dehydrocholesterol reductase,11,"Rare Single Gene Mutation, Syndromic",1,0,16
DIP2A,DIP2 disco-interacting protein 2 homolog A (Drosophila),21,Rare Single Gene Mutation,2,0,5
DIP2C,disco interacting protein 2 homolog C,10,Rare Single Gene Mutation,2,0,2
DISC1,disrupted in schizophrenia 1,1,"Rare Single Gene Mutation, Syndromic, Genetic Association",2,0,34
DIXDC1,DIX domain containing 1,11,"Rare Single Gene Mutation, Functional",3,0,4
DLG1,discs large MAGUK scaffold protein 1,3,Rare Single Gene Mutation,3,0,3
DLG2,discs large MAGUK scaffold protein 2,11,Rare Single Gene Mutation,2,0,2
DLG4,discs large MAGUK scaffold protein 4,17,"Rare Single Gene Mutation, Syndromic, Functional",1,0,11
DLGAP1,DLG associated protein 1,18,"Rare Single Gene Mutation, Functional",2,0,7
DLGAP2,"discs, large (Drosophila) homolog-associated protein 2",8,Rare Single Gene Mutation,3,0,12
DLGAP3,DLG associated protein 3,1,"Rare Single Gene Mutation, Genetic Association, Functional",3,0,10
DLL1,delta like canonical Notch ligand 1,6,"Rare Single Gene Mutation, Syndromic",3S,S,2
DLX3,distal-less homeobox 3,17,Rare Single Gene Mutation,2,0,2
DLX6,distal-less homeobox 6,7,Rare Single Gene Mutation,3,0,9
DMPK,dystrophia myotonica-protein kinase,19,"Rare Single Gene Mutation, Syndromic",1,0,8
DMXL2,Dmx-like 2,15,Rare Single Gene Mutation,3,0,6
DNAH10,"Dynein, axonemal, heavy chain 10",12,Rare Single Gene Mutation,3,0,6
DNAH17,dynein axonemal heavy chain 17,17,Rare Single Gene Mutation,3,0,5
DNAH3,dynein axonemal heavy chain 3,16,Rare Single Gene Mutation,3,0,4
DNER,Delta/notch-like EGF repeat containing,2,"Rare Single Gene Mutation, Genetic Association",3,0,2
DNMT3A,DNA (cytosine-5-)-methyltransferase 3 alpha,2,"Rare Single Gene Mutation, Syndromic, Genetic Association",1,0,12
DOCK1,Dedicator of cytokinesis 1,10,Rare Single Gene Mutation,3,0,2
DOCK4,Dedicator of cytokinesis 4,7,"Rare Single Gene Mutation, Genetic Association, Functional",3,0,9
DOCK8,dedicator of cytokinesis 8,9,Rare Single Gene Mutation,2,0,9
DOLK,dolichol kinase,9,Syndromic,S,S,2
DPP10,Dipeptidyl-peptidase 10,2,Rare Single Gene Mutation,2,0,11
DPP3,dipeptidyl peptidase 3,11,Rare Single Gene Mutation,3,0,3
DPP4,Dipeptidyl-peptidase 4,2,"Rare Single Gene Mutation, Genetic Association",3,0,6
DPP6,dipeptidyl-peptidase 6,7,"Rare Single Gene Mutation, Genetic Association, Functional",3,0,24
DPYD,dihydropyrimidine dehydrogenase,1,"Rare Single Gene Mutation, Syndromic, Genetic Association",3,0,13
DPYSL2,dihydropyrimidinase like 2,8,"Rare Single Gene Mutation, Genetic Association",2,0,12
DPYSL3,dihydropyrimidinase like 3,5,Rare Single Gene Mutation,3,0,2
DRD2,Dopamine receptor D2,11,"Rare Single Gene Mutation, Genetic Association",3,0,6
DRD3,dopamine receptor D3,3,"Rare Single Gene Mutation, Genetic Association",3,0,8
DSCAM,Down syndrome cell adhesion molecule,21,"Rare Single Gene Mutation, Genetic Association",1,0,8
DST,Dystonin,6,Rare Single Gene Mutation,3,0,7
DUSP15,dual specificity phosphatase 15,20,"Rare Single Gene Mutation, Genetic Association",3,0,4
DVL3,Dishevelled segment polarity protein 3,3,"Rare Single Gene Mutation, Functional",3,0,3
DYDC1,DPY30 domain containing 1,10,Rare Single Gene Mutation,3,0,2
DYDC2,DPY30 domain containing 2,10,,3,0,1
DYNC1H1,dynein cytoplasmic 1 heavy chain 1,14,"Rare Single Gene Mutation, Syndromic",2,0,14
DYRK1A,Dual-specificity tyrosine-(Y)-phosphorylation regulated kinase 1A,21,"Rare Single Gene Mutation, Syndromic, Functional",1,0,42
EBF3,early B-cell factor 3,10,"Rare Single Gene Mutation, Syndromic",1,0,7
EFR3A,EFR3 homolog A (S. cerevisiae),8,Rare Single Gene Mutation,2,0,5
EHMT1,Euchromatic histone-lysine N-methyltransferase 1,9,"Rare Single Gene Mutation, Syndromic",1,0,23
DLX2,distal-less homeobox 2,2,Genetic Association,3,0,11
DRD1,Dopamine receptor D1,5,"Genetic Association, Functional",3,0,4
EIF3G,eukaryotic translation initiation factor 3 subunit G,19,Rare Single Gene Mutation,3,0,3
EIF4E,eukaryotic translation initiation factor 4E,4,"Rare Single Gene Mutation, Genetic Association",3,0,12
ELAVL2,ELAV like neuron-specific RNA binding protein 2,9,"Rare Single Gene Mutation, Genetic Association, Functional",3,0,5
ELAVL3,ELAV like neuron-specific RNA binding protein 3,19,Rare Single Gene Mutation,2,0,3
ELOVL2,ELOVL fatty acid elongase 2,6,Genetic Association,3,0,1
ELP4,Elongator acetyltransferase complex subunit 4,11,"Rare Single Gene Mutation, Genetic Association",2,0,7
EN2,engrailed homolog 2,7,"Rare Single Gene Mutation, Genetic Association, Functional",3,0,23
EP300,E1A binding protein p300,22,"Rare Single Gene Mutation, Syndromic",1,0,17
EP400,E1A binding protein p400,12,Rare Single Gene Mutation,2,0,6
EPC2,Enhancer of polycomb homolog 2 (Drosophila),2,Rare Single Gene Mutation,3,0,4
EPHB2,EPH receptor B2,1,Rare Single Gene Mutation,3,0,4
EPPK1,epiplakin 1,8,Rare Single Gene Mutation,3,0,4
EMSY,"EMSY, BRCA2 interacting transcriptional repressor",11,"Rare Single Gene Mutation, Functional",2,0,4
ERG,"ERG, ETS transcription factor",21,Genetic Association,3,0,1
ERMN,ermin,2,Rare Single Gene Mutation,3,0,1
ESR2,estrogen receptor 2 (ER beta),14,"Rare Single Gene Mutation, Syndromic, Genetic Association",3,0,9
ESRRB,estrogen-related receptor beta,14,"Rare Single Gene Mutation, Genetic Association",3,0,7
ETFB,"Electron-transfer-flavoprotein, beta polypeptide",19,Rare Single Gene Mutation,2,0,3
EXOC3,exocyst complex component 3,5,Rare Single Gene Mutation,3,0,1
EXOC5,exocyst complex component 5,14,Rare Single Gene Mutation,3,0,2
EXOC6,exocyst complex component 6,10,Rare Single Gene Mutation,3,0,1
EXOC6B,exocyst complex component 6B,2,Rare Single Gene Mutation,3,0,4
EXT1,Exostosin 1,8,"Rare Single Gene Mutation, Genetic Association",3,0,6
FABP5,fatty acid binding protein 5 (psoriasis-associated),8,"Rare Single Gene Mutation, Functional",3,0,7
FAM47A,family with sequence similarity 47 member A,X,Rare Single Gene Mutation,3,0,1
FAM92B,"Family with sequence similarity 92, member B",16,Rare Single Gene Mutation,2,0,3
FAM98C,family with sequence similarity 98 member C,19,Rare Single Gene Mutation,3,0,2
FAN1,FANCD2/FANCI-associated nuclease 1,15,Rare Single Gene Mutation,3,0,1
FAT1,FAT atypical cadherin 1,4,Rare Single Gene Mutation,3,0,4
FBN1,Fibrillin 1,15,Rare Single Gene Mutation,2,0,10
FBXO11,F-box protein 11,2,"Rare Single Gene Mutation, Syndromic",3S,S,5
FBXO40,F-box protein 40,3,"Rare Single Gene Mutation, Genetic Association",3,0,4
FCRL6,Fc receptor like 6,1,Rare Single Gene Mutation,3,0,4
ERBIN,erbb2 interacting protein,5,Rare Single Gene Mutation,2,0,6
FEZF2,FEZ family zinc finger 2,3,"Rare Single Gene Mutation, Genetic Association",3,0,8
FGA,Fibrinogen alpha chain,4,"Rare Single Gene Mutation, Genetic Association",3,0,2
FHIT,fragile histidine triad gene,3,"Rare Single Gene Mutation, Genetic Association",3,0,12
FMR1,fragile X mental retardation 1,X,"Rare Single Gene Mutation, Syndromic, Genetic Association, Functional",1,0,42
FOXG1,Forkhead box G1,14,"Rare Single Gene Mutation, Syndromic, Genetic Association",1,0,26
FOXP1,forkhead box P1,3,"Rare Single Gene Mutation, Syndromic, Genetic Association, Functional",1,0,48
FOXP2,forkhead box P2,7,"Rare Single Gene Mutation, Genetic Association",2,0,42
FRK,fyn-related kinase,6,"Rare Single Gene Mutation, Genetic Association",3,0,3
GABBR2,gamma-aminobutyric acid type B receptor subunit 2,9,"Rare Single Gene Mutation, Syndromic, Functional",3S,S,10
GABRA4,"gamma-aminobutyric acid (GABA) A receptor, alpha 4",4,"Rare Single Gene Mutation, Genetic Association",3,0,6
GABRB3,"gamma-aminobutyric acid (GABA) A receptor, beta 3",15,"Rare Single Gene Mutation, Genetic Association",2,0,37
GABRG3,gamma-aminobutyric acid type A receptor gamma3 subunit,15,Genetic Association,2,0,9
GALNT13,polypeptide N-acetylgalactosaminyltransferase 13,2,Rare Single Gene Mutation,3,0,4
GALNT14,polypeptide N-acetylgalactosaminyltransferase 14,2,"Rare Single Gene Mutation, Genetic Association",3,0,5
GALNT8,polypeptide N-acetylgalactosaminyltransferase 8,12,Rare Single Gene Mutation,2,0,2
GATM,Glycine amidinotransferase (L-arginine:glycine amidinotransferase),15,Syndromic,S,S,2
GDA,guanine deaminase,9,"Rare Single Gene Mutation, Genetic Association",3,0,2
GGNBP2,gametogenetin binding protein 2,17,Rare Single Gene Mutation,2,0,2
GIGYF1,GRB10 interacting GYF protein 1,7,Rare Single Gene Mutation,1,0,6
GIGYF2,GRB10 interacting GYF protein 2,2,Rare Single Gene Mutation,1,0,7
GLIS1,GLIS family zinc finger 1,1,"Rare Single Gene Mutation, Genetic Association",3,0,2
GLO1,glyoxalase I,6,"Rare Single Gene Mutation, Genetic Association",3,0,10
GLRA2,"glycine receptor, alpha 2",X,"Rare Single Gene Mutation, Functional",3,0,15
GNAS,GNAS complex locus,20,Rare Single Gene Mutation,3,0,8
GNB1L,"guanine nucleotide binding protein (G protein), beta polypeptide 1-like",22,"Rare Single Gene Mutation, Genetic Association",3,0,2
GPC4,glypican 4,X,Rare Single Gene Mutation,2,0,2
