Accession	Gene	Peptide count	Unique peptides	Confidence score	Anova (p)	Max fold change	Fractions	Occurrences	Highest mean condition	Lowest mean condition	Description	F2613	F6281	F7511	F5541	F5618	F7647	Correlation
Q13362	PPP2R5C	3	1	18.0631	0.002893179	1.658879013	3	1	Pacientes	Controles	Serine/threonine-protein phosphatase 2A 56 kDa regulatory subunit gamma isoform OS=Homo sapiens OX=9606 GN=PPP2R5C PE=1 SV=3	475.4807254	391.068467	458.7010936	242.1134488	270.3158949	286.4536827	0.764419014
Q9Y4I1	MYO5A	3	2	15.3228	0.00304295	2.013481368	1	1	Pacientes	Controles	Unconventional myosin-Va OS=Homo sapiens OX=9606 GN=MYO5A PE=1 SV=2	2651.209169	2441.97265	2327.005092	1092.051271	1495.458141	1097.742921	0.8509061
O75955	FLOT1	13	13	78.8028	0.003049661	1.271249609	1;2;3	3	Pacientes	Controles	Flotillin-1 OS=Homo sapiens OX=9606 GN=FLOT1 PE=1 SV=3	6432.252802	6604.665373	6259.211884	5381.33873	4782.68783	5014.841479	0.705385282
Q9BSJ8	ESYT1	20	16	159.0824	0.00331024	1.975408234	1;2;3	3	Controles	Pacientes	Extended synaptotagmin-1 OS=Homo sapiens OX=9606 GN=ESYT1 PE=1 SV=1	2262.978129	2182.804972	2444.335293	4341.247984	3836.623033	5432.925592	-0.925003149
Q15056	EIF4H	10	8	62.9362	0.003709032	3.584355721	2;3	2	Pacientes	Controles	Eukaryotic translation initiation factor 4H OS=Homo sapiens OX=9606 GN=EIF4H PE=1 SV=5	13941.8834	12287.09135	10062.93951	3183.305825	4586.46231	2355.319073	0.835664223
Q7L1Q6	BZW1	22	17	186.2815	0.003833446	3.843259897	1;2;3	3	Pacientes	Controles	Basic leucine zipper and W2 domain-containing protein 1 OS=Homo sapiens OX=9606 GN=BZW1 PE=1 SV=1	23113.05651	28693.71616	13852.68244	5565.211556	5830.332979	5688.768488	0.618060325
Q9BZD4	NUF2	3	1	18.1116	0.003995574	1.334133792	1	1	Pacientes	Controles	Kinetochore protein Nuf2 OS=Homo sapiens OX=9606 GN=NUF2 PE=1 SV=2	2150.489892	1994.6699	1839.107143	1483.958242	1458.590241	1542.958872	0.706161209
P35241	RDX	48	22	495.3232	0.004778472	1.330923891	1;2;3	3	Pacientes	Controles	Radixin OS=Homo sapiens OX=9606 GN=RDX PE=1 SV=1	19631.46079	21522.14818	18682.57953	14228.6013	15698.6495	15031.13405	0.676047009
Q5RKV6	EXOSC6	1	1	6.142	0.004813606	1.289901642	1	1	Pacientes	Controles	Exosome complex component MTR3 OS=Homo sapiens OX=9606 GN=EXOSC6 PE=1 SV=1	1407.221773	1280.983814	1370.567611	986.824961	1115.257191	1044.493574	0.835293248
Q05397	PTK2	11	6	77.2528	0.005120477	1.301513253	1;2	2	Controles	Pacientes	Focal adhesion kinase 1 OS=Homo sapiens OX=9606 GN=PTK2 PE=1 SV=2	2379.660189	2103.670588	2216.234095	2877.229069	3077.263196	2765.080202	-0.54023121
Q9UJU6	DBNL	13	9	92.7782	0.005246402	1.32888812	1;2	2	Pacientes	Controles	Drebrin-like protein OS=Homo sapiens OX=9606 GN=DBNL PE=1 SV=1	4588.159163	4328.631134	5120.494755	3603.00738	3438.441004	3521.732097	0.756029258
Q8NBS9	TXNDC5	7	5	52.7877	0.005371974	1.895644951	1;3	2	Controles	Pacientes	Thioredoxin domain-containing protein 5 OS=Homo sapiens OX=9606 GN=TXNDC5 PE=1 SV=2	7974.474588	10426.04622	7620.033304	16503.05451	14568.55264	18254.12488	-0.922869592
O75368	SH3BGRL	3	2	17.0173	0.005553714	1.370600558	2	1	Pacientes	Controles	SH3 domain-binding glutamic acid-rich-like protein OS=Homo sapiens OX=9606 GN=SH3BGRL PE=1 SV=1	3413.218322	3571.045549	3017.999366	2297.294485	2505.870683	2494.557845	0.662788343
Q15181;Q9H2U2	PPA1	9	6	80.39	0.00556032	1.576137478	1;2;3	3	Pacientes	Controles	Inorganic pyrophosphatase OS=Homo sapiens OX=9606 GN=PPA1 PE=1 SV=2	10629.34756	10477.00714	9131.299746	5579.261238	6568.723876	7036.670327	0.656706936
Q12899	TRIM26	3	2	17.4819	0.005826074	1.367548463	1	1	Pacientes	Controles	Tripartite motif-containing protein 26 OS=Homo sapiens OX=9606 GN=TRIM26 PE=1 SV=1	1768.545187	1772.911324	1861.120689	1198.764842	1456.037057	1295.754404	0.801928118
Q9HAQ2	KIF9	2	1	15.3767	0.005859354	196.0672017	1	1	Pacientes	Controles	Kinesin-like protein KIF9 OS=Homo sapiens OX=9606 GN=KIF9 PE=1 SV=4	773.2880429	1285.841058	1564.958401	0	18.48390485	0	0.678324668
P07195;Q6ZMR3	LDHB	54	40	371.7384	0.006032583	1.349208507	1;2;3	3	Pacientes	Controles	L-lactate dehydrogenase B chain OS=Homo sapiens OX=9606 GN=LDHB PE=1 SV=2	127315.285	133203.612	117025.0971	88393.62559	101131.8918	90300.75995	0.763014157
P06756	ITGAV	6	5	34.1979	0.006063257	3.242590775	2	1	Controles	Pacientes	Integrin alpha-V OS=Homo sapiens OX=9606 GN=ITGAV PE=1 SV=2	369.4671523	171.6097969	274.8564182	915.9437201	942.5127397	787.2815504	-0.617978243
P52306	RAP1GDS1	9	6	53.4158	0.006321023	1.660245051	2;3	2	Controles	Pacientes	Rap1 GTPase-GDP dissociation stimulator 1 OS=Homo sapiens OX=9606 GN=RAP1GDS1 PE=1 SV=3	2902.595701	2700.62534	3329.924443	5604.619076	4891.838628	4334.752874	-0.561629553
Q5TCS8	AK9	8	4	45.0435	0.006523748	1.765502139	2	1	Pacientes	Controles	Adenylate kinase 9 OS=Homo sapiens OX=9606 GN=AK9 PE=1 SV=2	5444.546936	7730.205723	6097.476939	3593.076452	3845.299813	3477.628405	0.610777403
O43491	EPB41L2	6	6	36.7024	0.006601377	2.312381707	1	1	Controles	Pacientes	Band 4.1-like protein 2 OS=Homo sapiens OX=9606 GN=EPB41L2 PE=1 SV=1	647.0258399	612.8527443	1001.292119	1820.429019	1546.621837	1861.638916	-0.806277206
Q13363	CTBP1	8	3	55.5874	0.007238939	1.539572459	2	1	Pacientes	Controles	C-terminal-binding protein 1 OS=Homo sapiens OX=9606 GN=CTBP1 PE=1 SV=2	3576.258721	4017.165486	3028.566569	2385.573752	2279.305575	2234.432696	0.656118348
Q53SF7	COBLL1	4	4	24.3859	0.007707362	2.827514945	2	1	Pacientes	Controles	Cordon-bleu protein-like 1 OS=Homo sapiens OX=9606 GN=COBLL1 PE=1 SV=2	17193.45987	14524.78274	8875.015035	4989.653297	4956.996164	4409.864448	0.717073288
P51608	MECP2	1	1	5.0719	0.008021435	7.693593283	1	1	Pacientes	Controles	Methyl-CpG-binding protein 2 OS=Homo sapiens OX=9606 GN=MECP2 PE=1 SV=1	766.5586806	726.790164	1844.234271	77.53475608	171.9746693	184.3038778	0.638795897
P51805	PLXNA3	6	2	34.6383	0.008124505	1.553848154	2	1	Controles	Pacientes	Plexin-A3 OS=Homo sapiens OX=9606 GN=PLXNA3 PE=1 SV=2	3860.761545	3304.285907	3829.4243	6207.191696	4892.569491	5983.978452	-0.786102594
O43520	ATP8B1	4	2	20.8986	0.008243318	2.507602369	2	1	Pacientes	Controles	Phospholipid-transporting ATPase IC OS=Homo sapiens OX=9606 GN=ATP8B1 PE=1 SV=3	227.2628045	237.2379979	178.6993191	71.08308276	68.46371339	116.9532493	0.576456399
Q99436	PSMB7	3	2	27.9354	0.008264793	3.015908664	3	1	Pacientes	Controles	Proteasome subunit beta type-7 OS=Homo sapiens OX=9606 GN=PSMB7 PE=1 SV=1	28098.72449	32590.2525	18402.01472	8903.690179	10798.91017	6521.997447	0.710793318
P20339	RAB5A	3	1	29.8953	0.008332712	1.430100474	2;3	2	Pacientes	Controles	Ras-related protein Rab-5A OS=Homo sapiens OX=9606 GN=RAB5A PE=1 SV=2	713.3864225	886.9856002	886.6684933	578.7412294	575.5462237	584.7795292	0.603720056
P04114	APOB	22	15	133.7394	0.008361855	1.369101735	1	1	Pacientes	Controles	Apolipoprotein B-100 OS=Homo sapiens OX=9606 GN=APOB PE=1 SV=2	16360.47386	13154.63336	14184.9854	10654.25664	10661.45702	10603.09231	0.814995064
Q9NUU7;Q9UMR2	DDX19A	13	9	98.5669	0.008632472	1.691720973	1;2	2	Pacientes	Controles	ATP-dependent RNA helicase DDX19A OS=Homo sapiens OX=9606 GN=DDX19A PE=1 SV=1	10670.80089	14429.20427	10477.96004	6667.081275	7033.893083	7329.659998	0.538728223
P11169;Q8TDB8	SLC2A3	2	1	20.7015	0.008744141	4.763962846	3	1	Controles	Pacientes	Solute carrier family 2_ facilitated glucose transporter member 3 OS=Homo sapiens OX=9606 GN=SLC2A3 PE=1 SV=1	434.829333	179.1440881	181.4682614	1604.396382	893.3314406	1291.726799	-0.740402185
P54756	EPHA5	3	2	15.3	0.008781899	1.294457013	1	1	Pacientes	Controles	Ephrin type-A receptor 5 OS=Homo sapiens OX=9606 GN=EPHA5 PE=1 SV=3	2535.151792	2688.020006	2552.970623	1956.296267	2201.206773	1849.758958	0.84568895
Q13155	AIMP2	1	1	6.811	0.009026274	1.390335168	3	1	Pacientes	Controles	Aminoacyl tRNA synthase complex-interacting multifunctional protein 2 OS=Homo sapiens OX=9606 GN=AIMP2 PE=1 SV=2	2380.592154	2961.627962	2621.504344	1810.732254	1984.690534	1932.49422	0.590327544
Q02241	KIF23	2	1	18.5571	0.009657891	1.398402445	2	1	Pacientes	Controles	Kinesin-like protein KIF23 OS=Homo sapiens OX=9606 GN=KIF23 PE=1 SV=3	2382.186876	2319.034241	2270.132879	1473.744745	1624.724563	1886.757956	0.577588603
Q14DG7	TMEM132B	3	2	15.054	0.010147862	1.550505357	1	1	Pacientes	Controles	Transmembrane protein 132B OS=Homo sapiens OX=9606 GN=TMEM132B PE=2 SV=2	27967.92294	22028.64415	28471.01764	16003.45685	16148.25234	18456.03904	0.71697808
Q6DKJ4	NXN	9	7	64.5856	0.010455654	1.623166283	2;3	2	Pacientes	Controles	Nucleoredoxin OS=Homo sapiens OX=9606 GN=NXN PE=1 SV=2	5404.016505	5372.403469	4496.862718	3692.823366	2978.875253	2737.862715	0.781981319
Q9NQT8	KIF13B	2	1	11.7847	0.010565325	3.964526202	1	1	Pacientes	Controles	Kinesin-like protein KIF13B OS=Homo sapiens OX=9606 GN=KIF13B PE=1 SV=2	18265.29103	20894.56393	8543.965201	4626.209206	3908.766349	3497.690577	0.61833899
P32119	PRDX2	15	12	136.9139	0.01096798	1.548529174	1;2;3	3	Pacientes	Controles	Peroxiredoxin-2 OS=Homo sapiens OX=9606 GN=PRDX2 PE=1 SV=5	19917.83028	24876.23355	18066.44989	13232.49621	13850.96375	13510.23035	0.579872818
Q16698	DECR1	8	2	52.4387	0.01100627	1.572951721	1;2;3	3	Pacientes	Controles	2_4-dienoyl-CoA reductase_ mitochondrial OS=Homo sapiens OX=9606 GN=DECR1 PE=1 SV=1	13233.38456	12656.39514	9833.875773	7961.298966	7714.418014	7035.504848	0.749755282
P35609	ACTN2	34	10	302.0247	0.011289754	1.756913681	1;2;3	3	Pacientes	Controles	Alpha-actinin-2 OS=Homo sapiens OX=9606 GN=ACTN2 PE=1 SV=1	10137.18111	12180.58409	14349.11888	6118.894612	6804.145209	7947.014574	0.571681758
Q9UIG0	BAZ1B	11	8	72.3388	0.011294443	2.071891826	1	1	Controles	Pacientes	Tyrosine-protein kinase BAZ1B OS=Homo sapiens OX=9606 GN=BAZ1B PE=1 SV=2	3416.831638	3119.832176	2500.979098	7096.812104	4706.889801	6921.316571	-0.84117582
Q14195	DPYSL3	28	18	239.1237	0.01167255	2.479930506	1;2;3	3	Pacientes	Controles	Dihydropyrimidinase-related protein 3 OS=Homo sapiens OX=9606 GN=DPYSL3 PE=1 SV=1	14703.94309	28386.65193	18121.2631	7734.265338	8118.970868	8829.656302	0.46940865
P68371	TUBB4B	88	44	566.5902	0.012495822	1.246646747	1;2;3	3	Pacientes	Controles	Tubulin beta-4B chain OS=Homo sapiens OX=9606 GN=TUBB4B PE=1 SV=1	57994.39117	59479.22927	59901.42925	51906.48108	43587.0275	46788.21648	0.675764644
A4D1E1	ZNF804B	2	1	16.5803	0.012537093	13.39089516	1	1	Controles	Pacientes	Zinc finger protein 804B OS=Homo sapiens OX=9606 GN=ZNF804B PE=2 SV=2	3.219700042	4.288569253	22.87718241	202.3984747	73.75366888	130.7362545	-0.711512284
Q7Z3E5	ARMC9	4	3	27.1253	0.012716911	2.176645286	2	1	Pacientes	Controles	LisH domain-containing protein ARMC9 OS=Homo sapiens OX=9606 GN=ARMC9 PE=1 SV=3	11476.78494	10406.62888	8598.295593	3475.28121	6146.00309	4382.701382	0.793050481
Q9Y295	DRG1	7	5	50.0814	0.012795899	1.677358891	1;3	2	Pacientes	Controles	Developmentally-regulated GTP-binding protein 1 OS=Homo sapiens OX=9606 GN=DRG1 PE=1 SV=1	7531.347312	5862.161454	5128.69926	3691.747764	3451.971779	3898.764045	0.697165033
Q05639	EEF1A2	15	1	219.0471	0.01322154	2.649543382	1;2;3	3	Pacientes	Controles	Elongation factor 1-alpha 2 OS=Homo sapiens OX=9606 GN=EEF1A2 PE=1 SV=1	415.0894023	534.3025333	703.7033331	148.8160662	271.6710165	203.4299589	0.686609312
P24752	ACAT1	12	10	87.2601	0.013504664	3.09327583	2;3	2	Pacientes	Controles	Acetyl-CoA acetyltransferase_ mitochondrial OS=Homo sapiens OX=9606 GN=ACAT1 PE=1 SV=1	9432.792697	11337.39406	4927.651262	2815.340072	2857.785097	2634.520005	0.592999794
Q5SZK8	FREM2	2	1	8.5223	0.013631039	15.40393719	1	1	Pacientes	Controles	FRAS1-related extracellular matrix protein 2 OS=Homo sapiens OX=9606 GN=FREM2 PE=1 SV=2	93.55938739	675.5997364	350.026993	26.32205104	23.66375238	22.67004442	0.369821887
P61586;P62745	RHOA	11	5	97.2639	0.013872412	2.179091896	2;3	2	Pacientes	Controles	Transforming protein RhoA OS=Homo sapiens OX=9606 GN=RHOA PE=1 SV=1	5474.870583	9385.554837	6757.836957	3542.495837	2726.625659	3651.645231	0.468944292
P56545	CTBP2	8	3	65.8786	0.013910579	1.508521363	2	1	Pacientes	Controles	C-terminal-binding protein 2 OS=Homo sapiens OX=9606 GN=CTBP2 PE=1 SV=1	6058.666964	7235.592847	5262.300013	4263.62621	4162.524625	3875.007292	0.630885736
Q6YN16	HSDL2	3	1	12.6457	0.014001805	2.29135207	2	1	Pacientes	Controles	Hydroxysteroid dehydrogenase-like protein 2 OS=Homo sapiens OX=9606 GN=HSDL2 PE=1 SV=1	2887.17875	2057.807515	2002.213684	711.4352508	1140.446649	1180.039751	0.73318634
Q9H0D6	XRN2	3	2	16.7714	0.014279353	1.420407564	3	1	Controles	Pacientes	5'-3' exoribonuclease 2 OS=Homo sapiens OX=9606 GN=XRN2 PE=1 SV=1	1319.730447	1163.657765	1440.745945	2063.886775	1694.878539	1815.104525	-0.654739424
Q9Y4L1	HYOU1	62	53	550.6625	0.014313257	2.553487641	1;2;3	3	Controles	Pacientes	Hypoxia up-regulated protein 1 OS=Homo sapiens OX=9606 GN=HYOU1 PE=1 SV=1	8328.845413	6333.832442	14207.32634	26051.16536	23077.58144	24590.4521	-0.717613687
Q13523	PRPF4B	1	1	11.4404	0.014391709	1.975544603	1	1	Pacientes	Controles	Serine/threonine-protein kinase PRP4 homolog OS=Homo sapiens OX=9606 GN=PRPF4B PE=1 SV=3	15509.34586	16929.74296	15439.97051	10390.50956	5806.706225	8038.662898	0.661682811
P27348	YWHAQ	30	19	247.1377	0.014590307	2.289295025	1;2;3	3	Pacientes	Controles	14-3-3 protein theta OS=Homo sapiens OX=9606 GN=YWHAQ PE=1 SV=1	25749.26891	40741.73839	30407.90115	12356.96467	18581.57035	11388.42912	0.659368912
O15540	FABP7	1	1	7.008	0.014952303	3.196951886	2	1	Pacientes	Controles	Fatty acid-binding protein_ brain OS=Homo sapiens OX=9606 GN=FABP7 PE=1 SV=3	10469.81146	12370.94238	24708.37817	4689.093286	4770.034585	5414.143201	0.590319067
Q6NUK1	SLC25A24	8	6	38.9514	0.015126154	1.611148886	1;2	2	Controles	Pacientes	Calcium-binding mitochondrial carrier protein SCaMC-1 OS=Homo sapiens OX=9606 GN=SLC25A24 PE=1 SV=2	1010.568176	1309.0649	1146.025191	2115.122374	1907.947395	1560.621685	-0.55955112
Q8N1F7	NUP93	28	21	171.0142	0.015443395	1.393446073	1;2;3	3	Pacientes	Controles	Nuclear pore complex protein Nup93 OS=Homo sapiens OX=9606 GN=NUP93 PE=1 SV=2	6982.896213	5344.454859	5723.148654	4307.87399	4344.229873	4301.752105	0.799719882
P56715	RP1	11	6	62.0672	0.015554059	2.132979627	1	1	Controles	Pacientes	Oxygen-regulated protein 1 OS=Homo sapiens OX=9606 GN=RP1 PE=1 SV=1	346.1846966	209.9953979	358.3538443	612.2952411	576.2681872	762.1188318	-0.821558113
Q9NYB0	TERF2IP	1	1	5.3421	0.015600821	2.790661723	1	1	Pacientes	Controles	Telomeric repeat-binding factor 2-interacting protein 1 OS=Homo sapiens OX=9606 GN=TERF2IP PE=1 SV=1	662.8427774	1417.632383	1052.345369	361.9984521	311.74357	448.8664631	0.444803235
Q96IK1	BOD1	1	1	5.0648	0.015785703	2.263431321	2	1	Pacientes	Controles	Biorientation of chromosomes in cell division protein 1 OS=Homo sapiens OX=9606 GN=BOD1 PE=1 SV=2	9529.358428	6116.029803	7989.488196	4402.028151	2540.260023	3499.767744	0.768873139
Q7Z406	MYH14	67	28	468.2977	0.016316342	1.267756174	1;2;3	3	Pacientes	Controles	Myosin-14 OS=Homo sapiens OX=9606 GN=MYH14 PE=1 SV=2	10093.3959	11251.42953	9851.566961	8406.872489	8678.43089	7522.261562	0.769782957
P12277	CKB	35	31	297.0008	0.016396921	3.371641718	2;3	2	Pacientes	Controles	Creatine kinase B-type OS=Homo sapiens OX=9606 GN=CKB PE=1 SV=1	91372.82202	87991.26805	50508.33837	29719.63725	13319.88996	25138.66242	0.635083452
Q12849	GRSF1	5	2	45.7338	0.016449013	1.186003773	2	1	Pacientes	Controles	G-rich sequence factor 1 OS=Homo sapiens OX=9606 GN=GRSF1 PE=1 SV=3	4327.962858	4034.84166	3973.729592	3343.821804	3350.735	3707.209527	0.565229195
Q9UKX3	MYH13	6	1	29.8167	0.016470043	2.015028343	1	1	Pacientes	Controles	Myosin-13 OS=Homo sapiens OX=9606 GN=MYH13 PE=2 SV=2	1409.462173	1835.285054	1209.072895	658.3092932	933.342283	618.6498999	0.685440159
Q96F07	CYFIP2	11	1	81.0491	0.016609047	1.247774828	1;2	2	Pacientes	Controles	Cytoplasmic FMR1-interacting protein 2 OS=Homo sapiens OX=9606 GN=CYFIP2 PE=1 SV=2	854.2243584	811.4287079	712.5555173	638.0853823	621.7339134	646.1404422	0.659028448
Q8N1G4	LRRC47	12	8	84.4242	0.016650558	1.295239177	2;3	2	Pacientes	Controles	Leucine-rich repeat-containing protein 47 OS=Homo sapiens OX=9606 GN=LRRC47 PE=1 SV=1	3317.607972	3307.558073	2737.966625	2458.793998	2389.68878	2380.400375	0.675525693
Q9BX67	JAM3	4	3	17.2906	0.017046356	1.645580891	1	1	Pacientes	Controles	Junctional adhesion molecule C OS=Homo sapiens OX=9606 GN=JAM3 PE=1 SV=1	3143.997184	3059.067627	2184.67294	1796.062588	1570.710547	1730.355663	0.634421392
P63279	UBE2I	7	7	54.7685	0.017264451	1.16246418	3	1	Pacientes	Controles	SUMO-conjugating enzyme UBC9 OS=Homo sapiens OX=9606 GN=UBE2I PE=1 SV=1	5817.153399	6426.942451	5899.238903	4989.15948	5233.891152	5384.599962	0.494121206
Q96N67	DOCK7	6	3	40.0655	0.01752878	1.682675821	2	1	Controles	Pacientes	Dedicator of cytokinesis protein 7 OS=Homo sapiens OX=9606 GN=DOCK7 PE=1 SV=4	329.2189968	245.928625	261.2607978	393.7638631	554.3193353	459.3210259	-0.539766241
Q6W2J9	BCOR	1	1	12.7318	0.017788959	3.886891102	1	1	Pacientes	Controles	BCL-6 corepressor OS=Homo sapiens OX=9606 GN=BCOR PE=1 SV=1	30049.27582	34742.83208	15727.92432	4386.643415	10454.75929	5874.390488	0.65590506
Q8WXI9	GATAD2B	2	1	16.4925	0.017916276	7.977997588	1	1	Pacientes	Controles	Transcriptional repressor p66-beta OS=Homo sapiens OX=9606 GN=GATAD2B PE=1 SV=1	499.7611	1231.400726	2594.152303	200.0138244	152.0656759	190.0758566	0.516154299
Q12792	TWF1	6	3	31.5714	0.018266164	1.572384617	1;2	2	Pacientes	Controles	Twinfilin-1 OS=Homo sapiens OX=9606 GN=TWF1 PE=1 SV=3	4551.660105	4084.003077	3183.873487	2401.166917	2738.522977	2377.260183	0.751960133
P02458	COL2A1	4	2	18.6566	0.018333358	1.661523581	2	1	Controles	Pacientes	Collagen alpha-1(II) chain OS=Homo sapiens OX=9606 GN=COL2A1 PE=1 SV=3	137.9881628	125.4507426	132.944005	259.527346	170.1522846	228.919922	-0.762455652
Q6FI81	CIAPIN1	5	3	37.8005	0.018430116	1.593846663	1	1	Pacientes	Controles	Anamorsin OS=Homo sapiens OX=9606 GN=CIAPIN1 PE=1 SV=2	1080.282968	1032.299736	893.5534726	770.0897691	578.5435728	537.4553561	0.789299124
P27695	APEX1	13	10	108.8811	0.018580775	3.081557069	1;2;3	3	Pacientes	Controles	DNA-(apurinic or apyrimidinic site) lyase OS=Homo sapiens OX=9606 GN=APEX1 PE=1 SV=2	11359.942	12276.86365	5279.371726	3018.786994	3548.914438	2815.924032	0.625796392
P49321	NASP	29	25	248.7027	0.018971253	2.013795635	1;2;3	3	Controles	Pacientes	Nuclear autoantigenic sperm protein OS=Homo sapiens OX=9606 GN=NASP PE=1 SV=2	13573.21753	8801.477958	15447.85065	25187.80251	21854.26162	29124.81418	-0.810122966
Q96JM3	CHAMP1	5	4	34.6774	0.019048539	1.958685641	1	1	Pacientes	Controles	Chromosome alignment-maintaining phosphoprotein 1 OS=Homo sapiens OX=9606 GN=CHAMP1 PE=1 SV=2	2022.492511	2339.3398	1380.262628	849.1444301	1062.053677	1020.408077	0.586173082
Q96FJ2	DYNLL2	1	1	15.2864	0.019051164	1.476781559	1	1	Pacientes	Controles	Dynein light chain 2_ cytoplasmic OS=Homo sapiens OX=9606 GN=DYNLL2 PE=1 SV=1	6913.865925	8120.49074	6995.71842	5888.0617	4385.94172	4643.622648	0.638864919
P07942	LAMB1	24	19	150.4914	0.019361312	1.559176784	1;2;3	3	Controles	Pacientes	Laminin subunit beta-1 OS=Homo sapiens OX=9606 GN=LAMB1 PE=1 SV=2	7268.536687	8783.064049	10704.36951	14023.46998	12798.1754	14895.64226	-0.847557464
Q6S8J3;A5A3E0	POTEE	26	6	289.6803	0.019896307	1.311292745	1;2;3	3	Pacientes	Controles	POTE ankyrin domain family member E OS=Homo sapiens OX=9606 GN=POTEE PE=2 SV=3	12212.22041	14092.71715	11588.60112	10449.92157	9234.905004	9213.021625	0.614737721
Q5EB52	MEST	2	2	18.2793	0.01989768	7.840331205	3	1	Pacientes	Controles	Mesoderm-specific transcript homolog protein OS=Homo sapiens OX=9606 GN=MEST PE=2 SV=2	3559.857472	1905.996634	1861.688241	447.3063431	408.2166678	79.07301001	0.831762717
Q5T890	ERCC6L2	7	3	32.2412	0.019909657	1.636166219	1	1	Pacientes	Controles	DNA excision repair protein ERCC-6-like 2 OS=Homo sapiens OX=9606 GN=ERCC6L2 PE=1 SV=2	8763.112778	10223.6105	6684.575294	5174.476362	5002.150978	5513.281349	0.53503821
P51178	PLCD1	2	2	19.3485	0.020316051	2.350748412	2	1	Pacientes	Controles	1-phosphatidylinositol 4_5-bisphosphate phosphodiesterase delta-1 OS=Homo sapiens OX=9606 GN=PLCD1 PE=1 SV=2	2435.446364	4779.380068	2848.014628	1655.227103	1255.613197	1369.856438	0.4572249
O15067	PFAS	6	5	41.5177	0.020344381	1.656900595	3	1	Controles	Pacientes	Phosphoribosylformylglycinamidine synthase OS=Homo sapiens OX=9606 GN=PFAS PE=1 SV=4	1894.44739	1592.446378	2357.716218	2948.568203	3743.309301	2992.060261	-0.507371063
O43396	TXNL1	6	6	44.4674	0.021003436	1.472113498	1;2	2	Pacientes	Controles	Thioredoxin-like protein 1 OS=Homo sapiens OX=9606 GN=TXNL1 PE=1 SV=3	6980.333364	6766.273261	5985.615707	4034.180062	5361.301197	4008.527577	0.843865771
